curr1,curr2,price
1INCH,EUR,0.396027
1INCH,USD,0.436131
AAVE,ETH,0.04230972
AAVE,EUR,91.056132
AAVE,GBP,78.35319
AAVE,USD,99.70857
AAVE,XBT,0.0021345353999999
ACA,EUR,0.0892313999999999
ACA,USD,0.0982548
ACH,EUR,0.017214642
ACH,USD,0.01884888
ADA,AUD,0.8075541959999999
ADA,ETH,0.0002297959199999
ADA,EUR,0.4965406577999999
ADA,GBP,0.425894454
ADA,USD,0.5440097574
ADA,USDT,0.543238758
ADA,XBT,1.1539926e-05
ADX,EUR,0.16723368
ADX,USD,0.1828942919999999
AGLD,EUR,1.02987072
AGLD,USD,1.12812552
AIR,EUR,0.017475318
AIR,USD,0.0191997899999999
AKT,EUR,2.7636669
AKT,USD,3.04680114
ALCX,EUR,25.004844
ALCX,USD,27.260694
ALGO,ETH,8.512074e-05
ALGO,EUR,0.18232281
ALGO,GBP,0.156716406
ALGO,USD,0.1997379719999999
ALGO,USDT,0.199407114
ALGO,XBT,4.251024e-06
ALICE,EUR,1.087821
ALICE,USD,1.1940966
ALPHA,EUR,0.096239574
ALPHA,USD,0.1052429219999999
ANKR,EUR,0.0231500339999999
ANKR,USD,0.025445988
ANKR,XBT,5.393988e-07
ANT,ETH,0.0025345727999999
ANT,EUR,5.455246859999999
ANT,USD,5.9749947
ANT,XBT,0.000126688536
APE,EUR,1.27811448
APE,USD,1.39852674
APE,USDT,1.39852674
API3,EUR,1.478835
API3,USD,1.6252145999999998
APT,EUR,8.0990028
APT,USD,8.86569102
ARB,EUR,1.6943939999999995
ARB,USD,1.8563139
ARPA,EUR,0.0569777579999999
ARPA,USD,0.062973306
ASTR,EUR,0.12502422
ASTR,USD,0.1367546399999999
ATLAS,EUR,0.00511326
ATLAS,USD,0.005634612
ATOM,ETH,0.0042379902
ATOM,EUR,9.11453634
ATOM,GBP,7.81245972
ATOM,USD,9.99080874
ATOM,USDT,9.97677234
ATOM,XBT,0.00021215016
AUDIO,EUR,0.1799666999999999
AUDIO,USD,0.1968103799999999
AUD,JPY,96.7839858
AUD,USD,0.6728348339999999
AVAX,EUR,33.125904
AVAX,USD,36.304146
AVAX,USDT,36.284094
AXS,EUR,7.2367668
AXS,USD,7.923547799999999
BADGER,EUR,3.474009
BADGER,USD,3.8058696
BAL,EUR,3.65949
BAL,USD,4.020426
BAL,XBT,8.5221e-05
BAND,EUR,1.6111782
BAND,USD,1.7635733999999998
BAT,ETH,0.00010316754
BAT,EUR,0.2196796859999999
BAT,JPY,32.123304
BAT,USD,0.2405237399999999
BAT,XBT,5.11326e-06
BCH,AUD,368.676072
BCH,ETH,0.10447092
BCH,EUR,224.903232
BCH,GBP,193.361436
BCH,JPY,35491.0374
BCH,USD,246.268638
BCH,USDT,245.777364
BCH,XBT,0.005243598
BICO,EUR,0.3072969
BICO,USD,0.33747516
BIT,EUR,0.67795812
BIT,USD,0.7002158399999999
BLUR,EUR,0.4209917399999999
BLUR,USD,0.4624993799999999
BLZ,EUR,0.307487394
BLZ,USD,0.3360314159999999
BNC,EUR,0.4812479999999999
BNC,USD,0.5293728
BNT,EUR,0.6807654
BNT,USD,0.7449317999999999
BNT,XBT,1.60416e-05
BOBA,EUR,0.2155589999999999
BOBA,USD,0.2356109999999999
BOND,EUR,3.3526944
BOND,USD,3.6624978
BONK,EUR,1.18166436e-05
BONK,USD,1.2988683e-05
BRICK,EUR,0.0586320479999999
BRICK,USD,0.062642448
BSX,EUR,0.0001403639999999
BSX,USD,0.00015219468
BTT,EUR,9.72522e-07
BTT,USD,1.062756e-06
C98,EUR,0.20733768
C98,USD,0.2268883799999999
CELR,EUR,0.0179425295999999
CELR,USD,0.0198334332
CFG,EUR,0.6271262999999999
CFG,USD,0.68688126
CHR,EUR,0.2142556199999999
CHR,USD,0.2381174999999999
CHZ,EUR,0.07058304
CHZ,USD,0.0775009799999999
COMP,EUR,46.57077
COMP,USD,51.012288
COMP,XBT,0.0010808028
COTI,EUR,0.0562458599999999
COTI,USD,0.06155964
CQT,EUR,0.2624806799999999
CQT,USD,0.2884480199999999
CRV,ETH,0.0002346083999999
CRV,EUR,0.5043078
CRV,USD,0.5524326
CRV,XBT,1.163016e-05
CSM,EUR,0.0085221
CSM,USD,0.0092770578
CTSI,EUR,0.18507996
CTSI,USD,0.20232468
CVC,EUR,0.090234
CVC,USD,0.09815454
CVX,EUR,2.877462
CVX,USD,3.138138
DAI,EUR,0.9149527079999998
DAI,USD,1.00270026
DAI,USDT,1.001787894
DASH,EUR,25.8249708
DASH,USD,28.3505202
DASH,XBT,0.0006055704
DENT,EUR,0.00103488372
DENT,USD,0.00113714892
DOT,ETH,0.0031802472
DOT,EUR,6.84595332
DOT,GBP,5.875536779999999
DOT,JPY,997.88778
DOT,USD,7.505162819999999
DOT,USDT,7.492931099999999
DOT,XBT,0.0001598545439999
DYDX,EUR,2.396214
DYDX,USD,2.616786
EGLD,EUR,51.23286
EGLD,USD,56.205756
ENJ,EUR,0.3128111999999999
ENJ,GBP,0.2837358
ENJ,JPY,46.72116
ENJ,USD,0.3448943999999999
ENJ,XBT,7.31898e-06
ENS,EUR,12.68289
ENS,USD,13.966218
EOS,ETH,0.0003118086
EOS,EUR,0.6724438199999999
EOS,USD,0.7384149
EOS,USDT,0.73671048
EOS,XBT,1.5640559999999998e-05
ETH2.S,ETH,0.99798804
ETH,AED,0.0
ETH,AUD,3517.8226199999995
ETH,CHF,2000.187
ETH,DAI,2353.2746472
ETH,PYUSD,2339.0658
ETH,USDC,2363.77989
ETH,USDT,2360.601648
ETHW,ETH,0.0012462317999999
ETHW,EUR,2.7160434
ETHW,USD,2.9285946
EUL,EUR,3.0238416
EUL,USD,3.2394006
EUR,AUD,1.63408761
EUR,CAD,1.46720484
EUR,CHF,0.929871396
EUR,GBP,0.8615843099999999
EUR,JPY,158.1090174
EURT,EUR,1.0020987
EURT,USD,1.09313478
EURT,USDT,1.09644336
EWT,EUR,2.3029722
EWT,GBP,1.9761246
EWT,USD,2.5024896
EWT,XBT,5.303754e-05
FARM,EUR,40.464936
FARM,USD,43.532892
FET,EUR,0.6171003
